Name, OffsetX, OffsetY, Width, Height
ass1, 588, 1941, 30, 30
ass2, 2880, 732, 140, 140
ass3, 1440, 1588, 50, 50
ass4, 350, 2671, 70, 70
asteroid, 550, 2924, 150, 150
asteroid-resizes, 2880, 62, 250, 250
backgroud_shadowed, 0, 0, 1440, 900
background, 1440, 900, 1100, 688
big_orb, 618, 1928, 23, 24
black menu line, 422, 2024, 414, 900
bullet, 350, 2600, 71, 71
continue, 540, 1971, 118, 26
dot, 641, 1928, 10, 13
Enemy1, 3080, 532, 75, 150
Enemy10, 3020, 732, 75, 150
Enemy11, 3095, 682, 75, 150
Enemy12, 2962, 882, 75, 150
Enemy13, 3037, 882, 75, 150
Enemy14, 2962, 1032, 75, 150
Enemy15, 3037, 1032, 75, 150
Enemy2, 2962, 1182, 75, 150
Enemy3, 3037, 1182, 75, 150
Enemy4, 2962, 1332, 75, 150
Enemy5, 3037, 1332, 75, 150
Enemy6, 2936, 2053, 75, 150
Enemy7, 3011, 2053, 75, 150
Enemy8, 3086, 2053, 75, 150
Enemy9, 2936, 2203, 75, 150
exit, 540, 1997, 118, 23
Explosion1, 0, 2600, 350, 481
Explosion10, 836, 2024, 350, 481
Explosion11, 836, 2505, 350, 481
Explosion12, 1186, 2036, 350, 481
Explosion13, 1536, 2036, 350, 481
Explosion14, 1186, 2517, 350, 481
Explosion2, 1886, 2036, 350, 481
Explosion3, 1536, 2517, 350, 481
Explosion4, 2236, 2036, 350, 481
Explosion5, 2768, 1572, 350, 481
Explosion6, 1886, 2517, 350, 481
Explosion7, 2236, 2517, 350, 481
Explosion8, 2586, 2053, 350, 481
Explosion9, 2586, 2534, 350, 481
genesis_logo2, 2880, 0, 261, 62
mainShip1, 3011, 2203, 75, 150
mainShip10, 3086, 2203, 75, 150
mainShip11, 2936, 2353, 75, 150
mainShip12, 3011, 2353, 75, 150
mainShip13, 2936, 2503, 75, 150
mainShip14, 3086, 2353, 75, 150
mainShip15, 3011, 2503, 75, 150
mainShip2, 3086, 2503, 75, 150
mainShip3, 2936, 2653, 75, 150
mainShip4, 3011, 2653, 75, 150
mainShip5, 3086, 2653, 75, 150
mainShip6, 2936, 2803, 75, 150
mainShip7, 3011, 2803, 75, 150
mainShip8, 3086, 2803, 75, 150
mainShip9, 2936, 2953, 75, 150
menu_background, 0, 900, 1440, 900
new game, 422, 2003, 118, 18
options, 422, 1971, 118, 32
orange reversed 1, 658, 1800, 422, 224
orange reversed 2, 1080, 1800, 422, 224
orange reversed 3, 1502, 1588, 422, 224
orange reversed 4, 1502, 1812, 422, 224
orange reversed 5, 2540, 900, 422, 224
orange reversed 6, 1924, 1588, 422, 224
orange reversed all, 2540, 1124, 422, 224
orb + orb holder NEW, 0, 1800, 658, 128
orb_ornament, 422, 1941, 166, 30
planet1, 350, 2924, 200, 200
planet2, 2880, 532, 200, 200
planet3, 700, 2924, 100, 100
planet4, 2880, 312, 220, 220
red reversed 1, 1924, 1812, 422, 224
red reversed 2, 2540, 1348, 422, 224
red reversed 3, 2346, 1588, 422, 224
red reversed 4, 2346, 1812, 422, 224
red reversed 5, 0, 1928, 422, 224
red reversed 6, 0, 2152, 422, 224
red reversed all, 0, 2376, 422, 224
shadow, 1440, 0, 1440, 900
two dots, 422, 1928, 193, 13
